rank,feature_name,importance
1,rel_power_band_1_50_iqr,0.08412542
2,rel_power_band_50_100_med,0.059253126
3,skew_med,0.044593364
4,rel_power_band_50_100_iqr,0.039346576
5,zcr_iqr,0.038175758
6,total_power_1_100_med,0.037220407
7,log_energy_med,0.03553352
8,hjorth_activity_med,0.03056939
9,power_band_1_10_med,0.029860929
10,total_power_1_100_iqr,0.02859278
11,rms_med,0.027556827
12,log_energy_iqr,0.027324477
13,skew_iqr,0.026807938
14,spec_entropy_1_100_med,0.026741754
15,rel_power_band_1_10_med,0.02388009
16,hjorth_complexity_med,0.02321124
17,power_band_10_20_med,0.023203189
18,rel_power_band_20_50_med,0.022417586
19,power_band_50_100_med,0.02013978
20,rel_power_band_10_20_med,0.019928778
21,spec_entropy_1_100_iqr,0.01989526
22,kurtosis_med,0.019558368
23,hjorth_mobility_med,0.0195144
24,p2p_med,0.01864845
25,power_band_20_50_med,0.018172467
26,power_band_10_20_iqr,0.017995048
27,hjorth_mobility_iqr,0.01784391
28,rel_power_band_20_50_iqr,0.017498333
29,rel_power_band_1_10_iqr,0.017451264
30,zcr_med,0.016246384
31,p2p_iqr,0.015410795
32,mean_abs_med,0.01461132
33,hjorth_complexity_iqr,0.014534572
34,power_band_50_100_iqr,0.013881482
35,rms_iqr,0.01345792
36,kurtosis_iqr,0.012906445
37,power_band_20_50_iqr,0.011406063
38,hjorth_activity_iqr,0.010806954
39,mean_abs_iqr,0.01075682
40,power_band_1_10_iqr,0.010164552
41,rel_power_band_10_20_iqr,0.0087230215
42,power_band_1_50_med,0.005778484
43,std_iqr,0.0033259813
44,std_med,0.0029287722
45,rel_power_band_1_50_med,0.0
46,power_band_1_50_iqr,0.0
