feature_name,p_value,q_value,significant
spec_entropy_1_100_med,1.9596969703431486e-15,9.014606063578483e-14,True
rel_power_band_50_100_med,7.690672415625926e-11,1.768854655593963e-09,True
skew_med,1.501932917050433e-10,1.9995738178805184e-09,True
rel_power_band_1_50_iqr,1.7387598416352333e-10,1.9995738178805184e-09,True
rel_power_band_50_100_iqr,3.889037419140457e-10,3.577914425609221e-09,True
rel_power_band_20_50_med,7.294072286431654e-08,5.592122086264268e-07,True
rel_power_band_1_10_med,1.9308499235917433e-06,1.2688442355031455e-05,True
rel_power_band_1_10_iqr,1.1718096543182428e-05,6.737905512329897e-05,True
zcr_iqr,1.6167121762035844e-05,8.263195567262765e-05,True
power_band_50_100_med,0.00023093491056289063,0.0010623005885892968,True
spec_entropy_1_100_iqr,0.00046029503926272805,0.0016694437779518744,True
rel_power_band_20_50_iqr,0.0004637185447306464,0.0016694437779518744,True
power_band_50_100_iqr,0.00047179932855161665,0.0016694437779518744,True
rel_power_band_10_20_iqr,0.0005129513049198448,0.0016854114304509186,True
rel_power_band_10_20_med,0.002218673247840717,0.006803931293378199,True
zcr_med,0.01042905992254047,0.029983547277303853,True
kurtosis_med,0.011189200492856237,0.030276660157140405,True
hjorth_mobility_med,0.015011881983074411,0.03836369840119016,True
power_band_20_50_med,0.02127320369915026,0.05150354579794273,False
hjorth_mobility_iqr,0.03540557793155154,0.07884254872470497,False
rms_iqr,0.0367480468349279,0.07884254872470497,False
std_iqr,0.037707305911815425,0.07884254872470497,False
log_energy_iqr,0.040263123206910965,0.08052624641382193,False
mean_abs_iqr,0.06905437547391811,0.13235421965834307,False
p2p_iqr,0.10011023144625347,0.1842028258611064,False
total_power_1_100_iqr,0.1505280080397427,0.2564551248084505,False
power_band_1_50_iqr,0.1505280080397427,0.2564551248084505,False
power_band_1_10_iqr,0.1608763335482437,0.2642968336864004,False
kurtosis_iqr,0.16949413956541937,0.26877646469276734,False
skew_iqr,0.17528899871267434,0.26877646469276734,False
hjorth_activity_iqr,0.27016419427411087,0.4008888044067452,False
power_band_1_10_med,0.36151237540888026,0.5196740396502654,False
power_band_20_50_iqr,0.37801733644723123,0.5269332568658375,False
hjorth_complexity_iqr,0.45210810873472984,0.6116756765234581,False
total_power_1_100_med,0.5582787185902185,0.7133561404208347,False
power_band_1_50_med,0.5582787185902185,0.7133561404208347,False
p2p_med,0.635842768768718,0.7905072260367846,False
power_band_10_20_med,0.8104188600910538,0.973632981161551,False
hjorth_complexity_med,0.8638770560320022,0.973632981161551,False
rms_med,0.9070052527622487,0.973632981161551,False
log_energy_med,0.9070052527622487,0.973632981161551,False
std_med,0.9101351780423194,0.973632981161551,False
hjorth_activity_med,0.9101351780423194,0.973632981161551,False
power_band_10_20_iqr,0.9441219757579191,0.9833208010839695,False
mean_abs_med,0.9619442619299702,0.9833208010839695,False
rel_power_band_1_50_med,1.0,1.0,False
