,count,mean,std,min,25%,50%,75%,max
accuracy,4.0,0.703125,0.08046270990455881,0.59375,0.671875,0.71875,0.75,0.78125
balanced_acc,4.0,0.703125,0.08046270990455881,0.59375,0.671875,0.71875,0.75,0.78125
f1_score,4.0,0.6650138297798871,0.17523643416864265,0.417910447761194,0.6100955894683884,0.710816025422767,0.7657342657342657,0.8205128205128205
recall_avg,4.0,0.671875,0.2967683775394666,0.2916666666666667,0.5416666666666666,0.6979166666666667,0.828125,1.0
precision_avg,4.0,0.7224229480819508,0.018440842002251698,0.6956521739130435,0.7180306905370843,0.728598756575801,0.7329910141206675,0.7368421052631579
recall_MILD,4.0,0.7343750000000001,0.1385847364130216,0.5625,0.671875,0.7395833333333334,0.8020833333333334,0.8958333333333334
recall_SEV,4.0,0.671875,0.2967683775394666,0.2916666666666667,0.5416666666666666,0.6979166666666667,0.828125,1.0
precision_MILD,4.0,0.7466810966810967,0.18721869086982573,0.5584415584415584,0.6441558441558441,0.7141414141414142,0.8166666666666667,1.0
precision_SEV,4.0,0.7224229480819508,0.018440842002251698,0.6956521739130435,0.7180306905370843,0.728598756575801,0.7329910141206675,0.7368421052631579
auc,4.0,0.7943793402777777,0.12262513765835338,0.6453993055555556,0.7557508680555556,0.7931857638888888,0.831814236111111,0.9457465277777777
n_test,4.0,96.0,0.0,96.0,96.0,96.0,96.0,96.0
